session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Fluent languages,Nationality,Sex,Student Status
5e4e53c524196529e30c11a9,5c864718d2c07e0001f53603,APPROVED,2020-02-20 09:39:19.739000,2020-02-20 10:47:25.625000,4085.886,26,35,1,99,2020-02-20 15:27:11.218000,228C6F99,Romania,United Kingdom,Unemployed (and job seeking),Romanian,"English, Romanian",Romania,Female,No
5e4e54bc7f8fd3000b8382af,5b1a88970ada0a0001e0f483,APPROVED,2020-02-20 09:47:05.104000,2020-02-20 10:55:56.457000,4131.353,27,289,2,100,2020-02-20 15:27:11.611000,228C6F99,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,English,United Kingdom,Female,No
5e4e56fabaf7e8294394b1ed,5b222aff59f9620001c109cb,APPROVED,2020-02-20 09:52:58.649000,2020-02-20 11:16:45.610000,5026.961,27,389,2,100,2020-02-20 15:27:11.996000,228C6F99,Finland,Finland,Unemployed (and job seeking),Finnish,"English, Finnish, Indonesian, Italian",Finland,Male,No
5e4e57358ebe9a000b712fa8,5ced0da70afd6e0001a9f211,APPROVED,2020-02-20 09:54:03.343000,2020-02-20 10:30:41.144000,2197.801,34,147,0,100,2020-02-20 15:27:12.362000,228C6F99,United Kingdom,United Kingdom,Part-Time,English,English,United Kingdom,Female,No
5e4e595769b63d2996a346f2,5a0dc5fbab721b0001ef8254,APPROVED,2020-02-20 10:03:11.589000,2020-02-20 11:27:29.718000,5058.129,54,637,1,100,2020-02-20 15:27:12.927000,228C6F99,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,English,United Kingdom,Female,No
5e4e5acbbaf7e828ee7b3f41,5b5f1cd27757ed000198dcb0,APPROVED,2020-02-20 10:10:45.060000,2020-02-20 11:24:32.299000,4427.239,24,189,0,100,2020-02-20 15:27:13.430000,228C6F99,Hungary,Hungary,Other,Hungarian,"Hungarian, English",Hungary,Male,Yes
5e4e5d09f4bdd82a000f5c26,5d14f4afcc9ce80001c2b6be,APPROVED,2020-02-20 10:19:33.151000,2020-02-20 11:40:19.131000,4845.98,21,33,0,100,2020-02-20 15:27:13.741000,228C6F99,Greece,Greece,Unemployed (and job seeking),Greek,"Greek, English",Greece,Female,Yes
5e4e5d761a0a622a012439e6,5b55dd9ae173e60001963c1b,APPROVED,2020-02-20 10:20:45.314000,2020-02-20 11:04:06.860000,2601.546,29,58,0,100,2020-02-20 15:27:14.213000,228C6F99,United Kingdom,United Kingdom,Full-Time,English,English,United Kingdom,Female,No
5e4e5ea55e8334000b7fe655,5d00bb3b51669b000136a986,APPROVED,2020-02-20 10:26:09.868000,2020-02-20 11:58:15.912000,5526.044,38,125,0,100,2020-02-20 15:27:14.513000,228C6F99,Poland,Poland,Full-Time,Polish,"English, Polish, Czech, Russian, Slovenian",Poland,Male,No
5e4e5fdbbc5c5429c8699831,5df0c36dcd604d10886592a4,APPROVED,2020-02-20 10:30:51.813000,2020-02-20 11:46:26.480000,4534.667,23,40,0,100,2020-02-20 15:27:14.816000,228C6F99,France,France,Unemployed (and job seeking),French,"English, French",France,Female,No
